name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Kylian Mbappé,France,Attack,right,178.0,FR1,Paris Saint-Germain,180000000.0,5,0,36,7,3329,26
Jude Bellingham,England,Midfield,right,186.0,ES1,Real Madrid,180000000.0,9,1,23,13,3644,21
Vinicius Junior,Brazil,Attack,right,176.0,ES1,Real Madrid,180000000.0,11,0,24,11,3084,24
Erling Haaland,Norway,Attack,left,195.0,GB1,Manchester City,180000000.0,1,0,38,6,3745,24
Phil Foden,England,Attack,left,171.0,GB1,Manchester City,150000000.0,3,0,27,12,4259,24
Bukayo Saka,England,Attack,left,178.0,GB1,Arsenal FC,140000000.0,4,0,20,14,3841,23
Florian Wirtz,Germany,Midfield,right,177.0,L1,Bayer 04 Leverkusen,130000000.0,7,0,18,20,3475,21
Jamal Musiala,Germany,Midfield,right,184.0,L1,Bayern Munich,130000000.0,3,0,12,8,2860,21
Rodri,Spain,Midfield,right,191.0,GB1,Manchester City,130000000.0,10,1,9,14,4327,28
Federico Valverde,Uruguay,Midfield,right,182.0,ES1,Real Madrid,120000000.0,2,0,3,8,4280,26
Lamine Yamal,Spain,Attack,left,180.0,ES1,FC Barcelona,120000000.0,6,0,7,9,2957,17
Declan Rice,England,Midfield,right,188.0,GB1,Arsenal FC,120000000.0,7,0,7,10,4241,26
Lautaro Martínez,Argentina,Attack,right,174.0,IT1,Inter Milan,110000000.0,8,0,27,7,3461,27
Martin Ødegaard,Norway,Midfield,left,178.0,GB1,Arsenal FC,110000000.0,2,0,10,11,4035,26
Rodrygo,Brazil,Attack,right,174.0,ES1,Real Madrid,110000000.0,2,0,17,9,3707,24
Aurélien Tchouaméni,France,Midfield,right,188.0,ES1,Real Madrid,100000000.0,10,0,3,1,2809,25
Victor Osimhen,Nigeria,Attack,right,186.0,IT1,SSC Napoli,100000000.0,7,0,17,4,2476,26
Harry Kane,England,Attack,right,188.0,L1,Bayern Munich,100000000.0,3,0,44,12,3934,31
Eduardo Camavinga,France,Midfield,left,182.0,ES1,Real Madrid,100000000.0,13,0,0,4,2824,22
Julián Álvarez,Argentina,Attack,right,170.0,GB1,Manchester City,90000000.0,5,0,19,13,3407,25
Rafael Leão,Portugal,Attack,right,188.0,IT1,AC Milan,90000000.0,8,0,15,14,3548,25
Gavi,Spain,Midfield,right,173.0,ES1,FC Barcelona,90000000.0,8,0,2,1,1172,20
Bruno Guimarães,Brazil,Midfield,right,182.0,GB1,Newcastle United,85000000.0,12,0,7,10,4199,27
Pedri,Spain,Midfield,right,174.0,ES1,FC Barcelona,80000000.0,3,0,4,5,2027,22
Xavi Simons,Netherlands,Midfield,right,179.0,L1,RB Leipzig,80000000.0,12,0,10,15,3468,21
Cole Palmer,England,Midfield,left,189.0,GB1,Chelsea FC,80000000.0,7,0,25,13,3182,22
William Saliba,France,Defender,right,192.0,GB1,Arsenal FC,80000000.0,6,0,2,1,4502,23
Rúben Dias,Portugal,Defender,right,187.0,GB1,Manchester City,80000000.0,3,0,0,0,3818,27
Khvicha Kvaratskhelia,Georgia,Attack,both,183.0,IT1,SSC Napoli,80000000.0,8,0,11,9,3594,24
Nicolò Barella,Italy,Midfield,right,175.0,IT1,Inter Milan,80000000.0,10,0,2,7,3502,28
Dominik Szoboszlai,Hungary,Midfield,right,187.0,GB1,Liverpool FC,75000000.0,1,0,5,4,2543,24
Luis Díaz,Colombia,Attack,right,180.0,GB1,Liverpool FC,75000000.0,4,0,12,5,3303,28
Josko Gvardiol,Croatia,Defender,left,185.0,GB1,Manchester City,75000000.0,5,0,5,3,3389,23
Moisés Caicedo,Ecuador,Midfield,right,178.0,GB1,Chelsea FC,75000000.0,14,0,1,4,3414,23
Enzo Fernández,Argentina,Midfield,right,178.0,GB1,Chelsea FC,75000000.0,10,0,5,3,2661,24
Alexis Mac Allister,Argentina,Midfield,right,176.0,GB1,Liverpool FC,75000000.0,9,1,7,7,3228,26
Alexander Isak,Sweden,Attack,right,192.0,GB1,Newcastle United,75000000.0,1,0,24,2,2911,25
Bruno Fernandes,Portugal,Midfield,right,179.0,GB1,Manchester United,70000000.0,12,0,15,13,4260,30
Trent Alexander-Arnold,England,Defender,right,180.0,GB1,Liverpool FC,70000000.0,7,0,3,6,2558,26
Darwin Núñez,Uruguay,Attack,right,187.0,GB1,Liverpool FC,70000000.0,9,0,17,10,2780,25
Gabriel Martinelli,Brazil,Attack,right,178.0,GB1,Arsenal FC,70000000.0,1,0,8,5,2616,23
Alessandro Bastoni,Italy,Defender,left,190.0,IT1,Inter Milan,70000000.0,5,0,1,4,2924,25
James Maddison,England,Midfield,right,175.0,GB1,Tottenham Hotspur,70000000.0,5,0,4,9,2171,28
Douglas Luiz,Brazil,Midfield,right,177.0,GB1,Aston Villa,70000000.0,12,0,10,6,3361,26
Leroy Sané,Germany,Attack,left,183.0,L1,Bayern Munich,70000000.0,5,0,10,13,3224,29
Ronald Araujo,Uruguay,Defender,right,192.0,ES1,FC Barcelona,70000000.0,10,1,1,2,3024,25
Bernardo Silva,Portugal,Midfield,left,173.0,GB1,Manchester City,70000000.0,9,0,11,10,3798,30
Nico Williams,Spain,Attack,right,181.0,ES1,Athletic Bilbao,70000000.0,7,0,8,19,2729,22
Frenkie de Jong,Netherlands,Midfield,right,181.0,ES1,FC Barcelona,70000000.0,10,0,2,0,2512,27
Gabriel Magalhães,Brazil,Defender,left,190.0,GB1,Arsenal FC,70000000.0,5,0,4,0,4151,27
Kai Havertz,Germany,Midfield,left,193.0,GB1,Arsenal FC,70000000.0,14,0,14,7,3647,25
Jérémy Doku,Belgium,Attack,right,173.0,FR1,Stade Rennais FC,65000000.0,4,0,7,10,2260,22
Christopher Nkunku,France,Midfield,right,177.0,GB1,Chelsea FC,65000000.0,0,0,3,0,442,27
Ollie Watkins,England,Attack,right,180.0,GB1,Aston Villa,65000000.0,4,0,22,13,3523,29
Rasmus Højlund,Denmark,Attack,left,191.0,GB1,Manchester United,65000000.0,2,0,16,2,3047,22
Lucas Paquetá,Brazil,Midfield,left,180.0,GB1,West Ham United,65000000.0,13,0,8,7,3355,27
Marcus Thuram,France,Attack,right,192.0,IT1,Inter Milan,65000000.0,3,0,15,14,3366,27
Gabriel Jesus,Brazil,Attack,right,175.0,GB1,Arsenal FC,65000000.0,8,0,8,8,1888,27
Viktor Gyökeres,Sweden,Attack,right,187.0,PO1,Sporting CP,65000000.0,4,1,37,11,3692,26
Dušan Vlahović,Serbia,Attack,left,190.0,IT1,Juventus FC,65000000.0,9,0,18,3,2609,25
Cristian Romero,Argentina,Defender,right,185.0,GB1,Tottenham Hotspur,65000000.0,7,1,5,0,2882,26
Matthijs de Ligt,Netherlands,Defender,right,189.0,L1,Bayern Munich,65000000.0,5,0,2,1,1924,25
Warren Zaïre-Emery,France,Midfield,right,178.0,FR1,Paris Saint-Germain,60000000.0,5,0,3,6,2957,18
